Wtorek,14,Lipiec,2026,07:58:14:00009-VCID:5FCD167BDD3D95711C-4B18,Wersja VCDS: AKP 21.9.0,Wersja danych: 20211210 DS330.0
074 906 018 AK,,2.5l R5 EDC 0000SG  3905,

,Grupa A:,'003,,,,Grupa B:,'008,,,,Grupa C:,'011
,,Obroty silnika,Iloœæ powietrza/Obr.,Iloœæ powietrza/Obr.,Cykl pracy,,Obroty silnika,Dawka paliwa,Dawka paliwa,Dawka paliwa,,Obroty silnika,Ciœnienie rzecz.,Ciœnienie rzecz.,Cykl pracy
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min, mg/suw, mg/suw, %,ZAPISU, /min, mg/suw, mg/suw, mg/suw,ZAPISU, /min, mbar, mbar, %
,0.64,775,290.0,490.0,94.4,0.01,775,0.2,25.6,26.6,0.32,775,1081.2,989.4,12.8
,1.60,775,295.0,495.0,94.4,0.96,775,0.2,25.6,26.6,1.28,775,1081.2,989.4,12.8
,2.56,877,325.0,455.0,94.4,1.92,755,0.2,25.6,26.4,2.24,775,1081.2,989.4,12.8
,3.52,857,410.0,495.0,94.4,2.88,898,5.6,25.2,25.8,3.20,857,1101.6,989.4,12.8
,4.48,836,405.0,490.0,94.4,3.84,836,6.6,25.4,26.2,4.16,836,1101.6,989.4,12.8
,5.44,775,290.0,495.0,94.4,4.80,836,6.2,25.4,25.8,5.12,816,1081.2,989.4,12.8
,6.40,775,300.0,480.0,94.4,5.76,796,0.2,25.6,26.4,6.08,775,1081.2,989.4,12.8
,7.36,755,335.0,495.0,94.4,6.72,775,0.2,25.6,26.2,7.04,775,1081.2,989.4,12.8
,8.32,959,425.0,505.0,94.4,7.68,796,4.4,25.6,25.6,8.00,857,1101.6,989.4,12.8
,9.28,1081,280.0,505.0,94.4,8.64,1040,9.6,24.6,25.4,8.96,1102,1152.6,979.2,12.8
,10.24,1061,315.0,505.0,94.4,9.60,1102,7.2,24.4,25.4,9.92,1081,1142.4,979.2,12.8
,11.20,796,295.0,490.0,94.4,10.56,1020,0.2,24.8,25.6,10.88,816,1101.6,989.4,12.8
,12.15,775,290.0,485.0,94.4,11.52,796,0.2,25.6,26.2,11.83,775,1081.2,989.4,12.8
,13.12,775,290.0,495.0,94.4,12.48,775,0.2,25.6,26.2,12.80,775,1081.2,989.4,12.8
,14.08,816,380.0,485.0,23.1,13.44,734,0.2,25.8,26.6,13.76,816,1101.6,989.4,12.8
,15.04,816,410.0,480.0,80.1,14.39,796,0.2,25.6,25.4,14.72,775,1081.2,989.4,12.8
,16.00,918,415.0,480.0,94.4,15.36,816,6.2,25.4,25.8,15.68,857,1111.8,989.4,12.8
,16.96,1122,385.0,500.0,94.4,16.32,1020,11.2,24.8,25.4,16.64,1061,1162.8,989.4,12.8
,17.92,1408,430.0,490.0,94.4,17.28,1204,13.4,24.0,25.2,17.60,1285,1295.4,989.4,12.8
,18.88,1693,400.0,515.0,94.4,18.24,1489,13.6,31.0,28.6,18.56,1612,1387.2,999.6,12.8
,19.83,918,500.0,560.0,94.4,19.20,1754,10.4,36.4,28.6,19.52,1571,1244.4,1020.0,12.8
,20.80,1061,555.0,500.0,91.2,20.16,1040,8.6,24.6,25.4,20.47,979,1122.0,999.6,12.8
,21.76,1285,590.0,520.0,4.8,21.12,1122,20.8,24.4,25.6,21.44,1204,1315.8,999.6,12.8
,22.72,1591,545.0,535.0,4.8,22.08,1387,22.0,27.8,27.6,22.40,1489,1468.8,1030.2,12.8
,23.68,1795,460.0,545.0,27.9,23.04,1673,18.0,34.8,29.8,23.36,1734,1489.2,1071.0,12.8
,24.64,1938,465.0,565.0,63.8,24.00,1856,16.0,38.4,29.8,24.32,1897,1550.4,1091.4,12.8
,25.62,2101,460.0,580.0,94.4,24.97,1999,16.2,43.4,31.0,25.30,2060,1632.0,1122.0,12.8
,26.57,2244,450.0,595.0,94.4,25.93,2142,16.2,44.2,31.6,26.25,2203,1683.0,1162.8,12.8
,27.53,2224,325.0,570.0,94.4,26.90,2244,10.4,44.8,31.6,27.21,2244,1499.4,1152.6,12.8
,28.49,2224,355.0,575.0,94.4,27.85,2244,8.4,44.8,30.6,28.17,2244,1530.0,1122.0,12.8
,29.46,2224,355.0,565.0,94.4,28.81,2224,9.8,44.6,30.4,29.14,2224,1519.8,1111.8,12.8
,30.41,2203,355.0,570.0,94.4,29.77,2224,9.8,44.6,30.4,30.10,2203,1519.8,1111.8,12.8
,31.37,2183,350.0,560.0,94.4,30.73,2203,9.8,44.4,30.4,31.05,2203,1509.6,1111.8,12.8
,32.34,2183,355.0,565.0,94.4,31.69,2183,9.8,44.4,30.4,32.01,2183,1509.6,1111.8,12.8
,33.29,2162,350.0,560.0,94.4,32.65,2183,9.6,44.4,30.4,32.97,2162,1499.4,1101.6,12.8
,34.26,2162,350.0,565.0,94.4,33.61,2162,9.6,44.2,29.8,33.94,2162,1499.4,1101.6,12.8
,35.21,2142,350.0,560.0,94.4,34.57,2142,9.4,44.2,29.8,34.89,2142,1499.4,1101.6,12.8
,36.18,1061,300.0,540.0,94.4,35.53,2101,5.8,44.0,30.4,35.86,1489,1173.0,1101.6,12.8
,37.15,1326,345.0,520.0,94.4,36.49,1265,8.4,24.0,24.8,36.83,1306,1264.8,1020.0,12.8
,38.12,1326,370.0,510.0,94.4,37.47,1306,10.2,26.0,26.4,37.80,1326,1285.2,1009.8,12.8
,39.08,1346,375.0,505.0,94.4,38.43,1326,11.0,26.2,26.8,38.76,1346,1295.4,1009.8,12.8
,40.03,1367,370.0,510.0,94.4,39.39,1346,11.2,27.0,27.2,39.71,1367,1295.4,1009.8,12.8
,40.99,1387,355.0,505.0,94.4,40.35,1367,10.8,27.6,27.2,40.67,1387,1295.4,1009.8,12.8
,41.95,1387,340.0,510.0,94.4,41.31,1387,10.4,28.2,27.4,41.63,1387,1295.4,1009.8,12.8
,42.91,1408,345.0,510.0,94.4,42.27,1408,9.8,28.4,27.6,42.59,1387,1295.4,1009.8,12.8
,43.87,1408,350.0,510.0,94.4,43.23,1408,9.8,28.2,27.4,43.55,1408,1305.6,1009.8,12.8
,44.83,1408,350.0,515.0,94.4,44.19,1408,9.8,28.6,27.6,44.51,1408,1305.6,1009.8,12.8
,45.79,1408,345.0,510.0,94.4,45.15,1408,10.0,28.6,28.0,45.47,1408,1305.6,1009.8,12.8
,46.76,1428,490.0,520.0,92.0,46.11,1408,9.8,28.2,27.4,46.43,1408,1326.0,1009.8,12.8
,47.71,1489,425.0,520.0,94.4,47.07,1448,16.4,29.8,28.4,47.39,1469,1356.6,1030.2,12.8
