Wtorek,14,Lipiec,2026,18:21:15:00009-VCID:5FCD167BDD3D95711C-4B18,Wersja VCDS: AKP 21.9.0,Wersja danych: 20211210 DS330.0
074 906 018 AK,,2.5l R5 EDC 0000SG  3905,

,Grupa A:,'010,,,,Grupa B:,'003,,,,Grupa C:,'001
,,Iloœæ powietrza/Obr.,Ciœnienie rzecz.,Ciœnienie rzecz.,Obci¹¿enie,,Obroty silnika,Iloœæ powietrza/Obr.,Iloœæ powietrza/Obr.,Cykl pracy,,Obroty silnika,Dawka paliwa,Napiêcie,Temperatura
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, mg/suw, mbar, mbar, %,ZAPISU, /min, mg/suw, mg/suw, %,ZAPISU, /min, mg/suw, V,*C
,0.61,450.0,989.4,999.6,0.0,0.93,775,275.0,455.0,94.4,0.29,775,8.2,1.640,92.7
,1.57,455.0,989.4,999.6,0.0,1.89,775,270.0,455.0,94.4,1.25,775,8.2,1.620,92.7
,2.53,445.0,989.4,999.6,0.0,2.85,775,275.0,455.0,94.4,2.21,775,8.2,1.620,92.7
,3.49,460.0,989.4,999.6,0.0,3.81,775,270.0,455.0,94.4,3.17,775,8.2,1.600,92.7
,4.45,450.0,989.4,999.6,0.0,4.77,775,275.0,455.0,94.4,4.13,775,8.2,1.600,92.7
,5.41,455.0,989.4,999.6,0.0,5.73,775,275.0,450.0,94.4,5.09,775,8.0,1.600,92.7
,6.37,440.0,989.4,1009.8,0.0,6.69,755,275.0,450.0,94.4,6.05,775,8.0,1.620,92.7
,7.35,450.0,989.4,1009.8,0.0,7.67,775,275.0,455.0,94.4,7.01,775,8.2,1.600,92.7
,8.31,450.0,989.4,999.6,0.0,8.63,775,275.0,445.0,94.4,7.99,775,8.2,1.620,92.7
,9.27,460.0,989.4,999.6,0.0,9.59,775,275.0,450.0,94.4,8.95,775,8.0,1.620,92.7
,10.23,455.0,989.4,999.6,0.0,10.55,775,275.0,450.0,94.4,9.91,775,8.2,1.620,92.7
,11.19,445.0,989.4,999.6,0.0,11.51,918,280.0,410.0,94.4,10.87,775,8.2,1.600,92.7
,12.15,465.0,989.4,1009.8,7.1,12.47,857,315.0,450.0,94.4,11.83,857,10.8,1.800,92.7
,13.11,470.0,989.4,1009.8,7.5,13.43,938,275.0,460.0,94.4,12.79,877,10.0,1.760,92.7
,14.07,480.0,989.4,1009.8,7.5,14.39,938,280.0,465.0,94.4,13.75,938,7.6,1.580,92.7
,15.03,470.0,989.4,1009.8,12.9,15.35,1020,280.0,460.0,94.4,14.71,1000,7.4,1.620,92.7
,15.99,465.0,989.4,1009.8,18.0,16.31,1489,285.0,485.0,94.4,15.67,1183,8.6,1.720,92.7
