Wtorek,14,Lipiec,2026,18:06:10:00009-VCID:5FCD167BDD3D95711C-4B18,Wersja VCDS: AKP 21.9.0,Wersja danych: 20211210 DS330.0
074 906 018 AK,,2.5l R5 EDC 0000SG  3905,

,Grupa A:,'010,,,,Grupa B:,'003,,,,Grupa C:,'008
,,Iloœæ powietrza/Obr.,Ciœnienie rzecz.,Ciœnienie rzecz.,Obci¹¿enie,,Obroty silnika,Iloœæ powietrza/Obr.,Iloœæ powietrza/Obr.,Cykl pracy,,Obroty silnika,Dawka paliwa,Dawka paliwa,Dawka paliwa
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, mg/suw, mbar, mbar, %,ZAPISU, /min, mg/suw, mg/suw, %,ZAPISU, /min, mg/suw, mg/suw, mg/suw
,0.28,450.0,989.4,999.6,0.0,0.60,775,275.0,450.0,94.4,0.92,775,0.2,25.6,24.6
,1.24,460.0,989.4,999.6,0.0,1.57,775,280.0,460.0,94.4,1.90,775,0.2,25.6,24.8
,2.22,460.0,989.4,999.6,0.0,2.54,775,275.0,455.0,94.4,2.86,775,0.2,25.6,25.2
,3.17,460.0,989.4,999.6,0.0,3.50,775,275.0,460.0,94.4,3.82,775,0.2,25.6,25.0
,4.14,460.0,989.4,999.6,0.0,4.46,775,280.0,450.0,94.4,4.78,775,0.2,25.6,25.4
,5.09,455.0,989.4,999.6,0.0,5.42,775,275.0,455.0,94.4,5.74,775,0.2,25.6,25.0
,6.05,460.0,989.4,999.6,0.0,6.38,775,275.0,455.0,94.4,6.70,775,0.2,25.6,25.4
,7.02,460.0,989.4,999.6,0.0,7.33,775,275.0,465.0,94.4,7.65,775,0.2,25.6,25.2
,7.98,460.0,989.4,999.6,0.0,8.30,775,275.0,465.0,94.4,8.62,775,0.2,25.6,25.2
,8.94,460.0,989.4,999.6,0.0,9.25,775,275.0,450.0,94.4,9.60,775,0.2,25.6,25.0
,9.92,450.0,989.4,999.6,0.0,10.24,775,275.0,450.0,94.4,10.56,775,0.2,25.6,25.4
,10.88,455.0,989.4,999.6,0.0,11.20,775,275.0,460.0,94.4,11.53,775,0.2,25.6,25.2
,11.86,460.0,989.4,999.6,0.0,12.18,775,275.0,460.0,94.4,12.50,775,0.2,25.6,25.2
,12.82,455.0,989.4,999.6,0.0,13.14,775,280.0,460.0,94.4,13.45,775,0.2,25.6,25.0
,13.77,450.0,989.4,999.6,0.0,14.12,775,275.0,460.0,94.4,14.46,775,0.2,25.6,25.0
,14.75,460.0,989.4,999.6,0.0,15.07,775,275.0,455.0,94.4,15.39,775,0.2,25.6,25.6
,15.72,465.0,989.4,999.6,0.0,16.03,775,280.0,455.0,94.4,16.36,775,0.2,25.6,25.0
,16.68,455.0,989.4,999.6,0.0,17.00,775,275.0,455.0,94.4,17.31,775,0.2,25.6,25.0
,17.63,460.0,989.4,999.6,0.0,17.98,775,275.0,445.0,94.4,18.27,775,0.2,25.6,24.8
,18.59,455.0,989.4,999.6,0.0,18.91,775,275.0,460.0,94.4,19.23,775,0.2,25.6,25.2
,19.55,455.0,999.6,999.6,0.0,19.87,775,275.0,465.0,94.4,20.19,775,0.2,25.6,24.8
,20.51,455.0,989.4,999.6,0.0,20.84,775,275.0,455.0,94.4,21.16,775,0.2,25.6,25.0
,21.47,460.0,989.4,999.6,0.0,21.79,775,275.0,455.0,94.4,22.11,775,0.2,25.6,25.4
,22.44,460.0,989.4,999.6,0.0,22.76,775,280.0,465.0,94.4,23.10,775,0.2,25.6,25.4
,23.42,465.0,989.4,999.6,0.0,23.74,775,275.0,450.0,94.4,24.05,775,0.2,25.6,25.2
,24.39,465.0,989.4,999.6,0.0,24.71,775,280.0,445.0,94.4,25.03,775,0.2,25.6,25.2
,25.36,460.0,989.4,999.6,0.0,25.67,775,275.0,460.0,94.4,26.00,775,0.2,25.6,25.2
,26.31,460.0,989.4,999.6,0.0,26.63,775,275.0,460.0,94.4,26.96,775,0.2,25.6,25.2
,27.27,450.0,989.4,999.6,0.0,27.59,775,275.0,460.0,94.4,27.91,775,0.2,25.6,25.2
,28.25,460.0,989.4,999.6,0.0,28.57,775,270.0,455.0,94.4,28.89,775,0.2,25.6,24.8
,29.22,460.0,989.4,999.6,0.0,29.53,775,275.0,455.0,94.4,29.87,775,0.2,25.6,25.0
,30.19,450.0,989.4,999.6,0.0,30.54,775,275.0,455.0,94.4,30.86,775,0.2,25.6,25.2
,31.17,460.0,989.4,999.6,0.0,31.47,775,275.0,455.0,94.4,31.79,775,0.2,25.6,25.2
,32.11,455.0,989.4,999.6,0.0,32.43,775,275.0,450.0,94.4,32.75,775,0.2,25.6,24.8
,33.09,460.0,989.4,999.6,0.0,33.41,775,275.0,455.0,94.4,33.74,775,0.2,25.6,25.0
,34.05,465.0,999.6,999.6,0.0,34.37,775,275.0,455.0,94.4,34.69,775,0.2,25.6,24.8
,35.01,450.0,989.4,999.6,0.0,35.33,775,275.0,445.0,94.4,35.65,775,0.2,25.6,24.8
,35.97,465.0,989.4,999.6,0.0,36.29,775,275.0,460.0,94.4,36.61,775,0.2,25.6,25.0
,36.94,460.0,989.4,999.6,0.0,37.25,775,275.0,460.0,94.4,37.57,775,0.2,25.6,25.2
,37.91,455.0,989.4,999.6,0.0,38.23,775,275.0,460.0,94.4,38.53,775,0.2,25.6,25.2
,38.85,455.0,989.4,999.6,0.0,39.17,775,275.0,460.0,94.4,39.49,775,0.2,25.6,25.0
,39.81,450.0,989.4,999.6,0.0,40.13,775,275.0,450.0,94.4,40.45,775,0.2,25.6,25.2
,40.77,455.0,989.4,999.6,0.0,41.09,775,275.0,455.0,94.4,41.41,775,0.2,25.6,25.0
,41.73,450.0,989.4,999.6,0.0,42.05,775,275.0,460.0,94.4,42.37,775,0.2,25.6,25.0
,42.69,455.0,989.4,999.6,0.0,43.01,775,275.0,460.0,94.4,43.33,775,0.2,25.6,25.0
,43.65,460.0,989.4,999.6,0.0,43.97,775,275.0,460.0,94.4,44.29,775,0.2,25.6,25.2
,44.61,460.0,989.4,999.6,0.0,44.93,775,275.0,450.0,94.4,45.25,775,0.2,25.6,25.4
,45.57,465.0,989.4,999.6,0.0,45.89,775,275.0,455.0,94.4,46.21,775,0.2,25.6,25.0
,46.53,455.0,989.4,999.6,0.0,46.85,775,275.0,455.0,94.4,47.17,775,0.2,25.6,25.0
,47.49,450.0,989.4,999.6,0.0,47.81,775,275.0,455.0,94.4,48.13,775,0.2,25.6,24.4
,48.45,455.0,989.4,999.6,0.0,48.77,775,275.0,455.0,94.4,49.09,775,0.2,25.6,25.2
,49.41,455.0,989.4,999.6,0.0,49.73,775,275.0,460.0,94.4,50.05,775,0.2,25.6,25.4
,50.37,460.0,999.6,999.6,0.0,50.69,755,280.0,460.0,94.4,51.01,775,0.2,25.6,25.2
,51.33,450.0,989.4,999.6,0.0,51.67,775,275.0,455.0,94.4,51.99,775,0.2,25.6,25.4
,52.31,460.0,989.4,999.6,0.0,52.63,775,275.0,465.0,94.4,52.95,775,0.2,25.6,25.2
,53.27,455.0,989.4,999.6,0.0,53.59,775,275.0,455.0,94.4,53.91,775,0.2,25.6,25.2
,54.23,460.0,989.4,999.6,0.0,54.55,775,275.0,460.0,94.4,54.87,775,0.2,25.6,24.8
,55.19,455.0,989.4,999.6,0.0,55.51,775,275.0,465.0,94.4,55.83,775,0.2,25.6,25.2
,56.15,455.0,989.4,999.6,0.0,56.48,775,275.0,460.0,94.4,56.81,775,0.2,25.6,25.2
,57.13,445.0,989.4,999.6,0.0,57.45,775,275.0,460.0,94.4,57.77,775,0.2,25.6,25.4
,58.09,460.0,989.4,999.6,0.0,58.41,775,275.0,450.0,94.4,58.73,775,0.2,25.6,25.0
,59.05,450.0,999.6,999.6,0.0,59.37,775,275.0,450.0,94.4,59.69,775,0.2,25.6,24.8
,60.01,450.0,989.4,999.6,0.0,60.33,775,275.0,465.0,94.4,60.65,775,0.2,25.6,25.2
,60.97,465.0,989.4,999.6,0.0,61.29,775,275.0,455.0,94.4,61.62,775,0.2,25.6,25.0
,61.95,455.0,989.4,999.6,0.0,62.27,775,275.0,450.0,94.4,62.59,775,0.2,25.6,24.6
,62.91,455.0,989.4,999.6,0.0,63.23,775,275.0,465.0,94.4,63.55,775,0.2,25.6,25.2
,63.87,460.0,989.4,999.6,0.0,64.19,775,275.0,455.0,94.4,64.51,775,0.2,25.6,25.4
,64.83,460.0,989.4,999.6,0.0,65.15,775,275.0,455.0,94.4,65.47,775,0.2,25.6,25.4
,65.79,460.0,989.4,999.6,0.0,66.11,775,275.0,455.0,94.4,66.43,775,0.2,25.6,25.0
,66.75,455.0,989.4,999.6,0.0,67.07,775,275.0,460.0,94.4,67.39,775,0.2,25.6,24.8
,67.71,450.0,989.4,999.6,0.0,68.03,775,275.0,460.0,94.4,68.35,775,0.2,25.6,25.0
,68.67,460.0,989.4,999.6,0.0,68.99,775,275.0,445.0,94.4,69.31,775,0.2,25.6,25.0
