Wtorek,14,Lipiec,2026,18:29:08:00009-VCID:5FCD167BDD3D95711C-4B18,Wersja VCDS: AKP 21.9.0,Wersja danych: 20211210 DS330.0
074 906 018 AK,,2.5l R5 EDC 0000SG  3905,

,Grupa A:,'011,,,,Grupa B:,'003,,,,Grupa C:,'008
,,Obroty silnika,Ciœnienie rzecz.,Ciœnienie rzecz.,Cykl pracy,,Obroty silnika,Iloœæ powietrza/Obr.,Iloœæ powietrza/Obr.,Cykl pracy,,Obroty silnika,Dawka paliwa,Dawka paliwa,Dawka paliwa
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min, mbar, mbar, %,ZAPISU, /min, mg/suw, mg/suw, %,ZAPISU, /min, mg/suw, mg/suw, mg/suw
,0.32,2203,1550.4,1244.4,12.8,0.64,2203,370.0,585.0,94.4,0.01,2183,10.8,44.4,30.6
,1.28,2224,1519.8,1244.4,12.8,1.60,2224,330.0,585.0,94.4,0.96,2224,10.8,44.6,30.4
,2.24,2224,1509.6,1234.2,12.8,2.56,2224,345.0,565.0,94.4,1.92,2224,8.6,44.6,30.6
,3.20,2244,1621.8,1244.4,12.8,3.52,2244,410.0,595.0,94.4,2.88,2244,10.6,44.6,30.4
,4.16,2264,1570.8,1275.0,12.8,4.48,2285,385.0,605.0,94.4,3.84,2264,12.8,45.0,31.4
,5.12,2305,1693.2,1285.2,12.8,5.44,2346,460.0,625.0,94.4,4.80,2285,12.0,45.2,31.2
,6.08,2366,1703.4,1346.4,12.8,6.38,2387,460.0,635.0,94.4,5.76,2346,15.6,45.6,33.4
,7.02,2428,1713.6,1377.0,12.8,7.34,2428,450.0,650.0,94.4,6.70,2387,15.2,46.0,34.6
,7.98,2448,1693.2,1387.2,12.8,8.30,2468,385.0,640.0,94.4,7.66,2448,14.6,46.4,33.8
,8.94,2489,1570.8,1336.2,12.8,9.26,2468,360.0,615.0,94.4,8.62,2468,10.8,46.6,34.0
,9.90,2468,1570.8,1295.4,12.8,10.22,2468,360.0,605.0,94.4,9.58,2489,9.4,46.8,31.8
,10.86,2468,1570.8,1285.2,12.8,11.18,2468,355.0,610.0,94.4,10.54,2468,9.4,46.6,31.6
,11.82,2468,1570.8,1285.2,12.8,12.14,2468,355.0,600.0,94.4,11.50,2468,9.6,46.6,31.4
,12.78,2387,1326.0,1275.0,12.8,13.10,2428,295.0,555.0,94.4,12.46,2468,9.0,46.6,31.4
,13.74,2366,1315.8,1162.8,12.8,14.06,2346,290.0,540.0,94.4,13.42,2387,0.2,46.0,28.6
,14.70,2264,1305.6,1132.2,12.8,15.02,2244,285.0,525.0,94.4,14.38,2305,0.2,45.2,28.0
,15.66,2142,1285.2,1122.0,12.8,15.98,2101,275.0,515.0,94.4,15.34,2183,0.2,44.4,28.2
,16.62,1958,1254.6,1101.6,12.8,16.94,1530,260.0,555.0,94.4,16.30,2020,0.2,43.6,28.0
,17.60,816,1071.0,1081.2,15.1,17.92,796,265.0,465.0,94.4,17.28,1040,0.2,24.6,26.4
,18.56,898,1060.8,1030.2,12.8,18.88,1000,260.0,460.0,94.4,18.24,796,0.2,25.6,25.0
,19.52,1367,1142.4,1009.8,12.8,19.84,1550,260.0,460.0,94.4,19.20,1183,0.2,24.2,24.6
,20.48,1897,1295.4,1020.0,12.8,20.80,1836,265.0,500.0,94.4,20.16,1775,1.2,36.4,26.0
,21.44,1754,1285.2,1060.8,12.8,21.76,1714,260.0,505.0,94.4,21.12,1795,2.0,36.8,27.6
,22.40,1632,1305.6,1060.8,12.8,22.72,1612,280.0,500.0,94.4,22.08,1673,2.0,35.0,28.0
,23.36,1612,1346.4,1071.0,12.8,23.68,1632,410.0,515.0,94.4,23.04,1612,6.6,33.4,28.0
,24.32,1754,1499.4,1122.0,12.8,24.64,1836,465.0,535.0,94.4,24.00,1673,16.0,35.0,28.6
,25.28,1979,1642.2,1193.4,12.8,25.60,2081,555.0,575.0,94.4,24.96,1897,16.0,40.4,29.4
,26.24,2346,1968.6,1377.0,12.8,26.56,2468,700.0,710.0,4.8,25.92,2203,24.6,44.4,32.8
,27.20,2754,1978.8,1652.4,12.8,27.52,2856,620.0,785.0,28.3,26.88,2611,28.4,46.8,40.2
,28.16,2795,1377.0,1662.6,20.7,28.50,1958,265.0,650.0,94.4,27.84,2978,24.4,46.8,40.4
,29.14,1958,1978.8,1346.4,12.8,29.46,2040,850.0,700.0,4.8,28.82,1979,16.8,43.4,32.0
,30.10,2203,1978.8,1632.0,12.8,30.42,2285,850.0,810.0,4.8,29.78,2122,48.8,44.0,39.0
,31.06,2448,1978.8,1846.2,12.8,31.38,2550,850.0,870.0,4.8,30.74,2366,49.0,45.8,41.6
,32.02,2693,1978.8,1958.4,12.8,32.34,2795,850.0,860.0,4.8,31.70,2632,49.4,46.8,41.8
